iter	Passed	Remaining
822	3762	809
823	3768	804
824	3772	800
825	3779	796
826	3784	791
827	3789	787
828	3797	783
829	3801	778
830	3806	774
831	3813	770
832	3825	766
833	3831	762
834	3837	758
835	3845	754
836	3849	749
837	3854	745
838	3859	740
839	3864	736
840	3868	731
841	3875	727
842	3881	722
843	3887	718
844	3894	714
845	3899	709
846	3903	705
847	3906	700
848	3910	695
849	3915	690
850	3919	686
851	3926	681
852	3929	677
853	3933	672
854	3937	667
855	3943	663
856	3947	658
857	3952	654
858	3956	649
859	3960	644
860	3963	639
861	3966	634
862	3969	630
863	3974	625
864	3978	620
865	3982	616
866	3985	611
867	3990	606
868	3993	602
869	3996	597
870	4000	592
871	4004	587
872	4008	583
873	4012	578
874	4016	573
875	4022	569
876	4026	564
877	4030	560
878	4034	555
879	4038	550
880	4042	545
881	4045	541
882	4048	536
883	4051	531
884	4055	526
885	4058	522
886	4061	517
887	4064	512
888	4069	508
889	4074	503
890	4079	499
891	4086	494
892	4091	490
893	4095	485
894	4100	481
895	4105	476
896	4110	471
897	4114	467
898	4120	462
899	4126	458
900	4131	453
901	4137	449
902	4142	445
903	4146	440
904	4152	435
905	4158	431
906	4162	426
907	4167	422
908	4173	417
909	4179	413
910	4185	408
911	4190	404
912	4194	399
913	4199	395
914	4205	390
915	4211	386
916	4220	381
917	4225	377
918	4230	372
919	4236	368
920	4242	363
921	4250	359
922	4256	355
923	4259	350
924	4265	345
925	4270	341
926	4275	336
927	4283	332
928	4288	327
929	4293	323
930	4300	318
931	4304	314
932	4309	309
933	4315	304
934	4322	300
935	4327	295
936	4334	291
937	4339	286
938	4347	282
939	4353	277
940	4357	273
941	4362	268
942	4366	263
943	4371	259
944	4376	254
945	4383	250
946	4387	245
947	4393	240
948	4402	236
949	4408	232
950	4419	227
951	4423	223
952	4429	218
953	4434	213
954	4437	209
955	4443	204
956	4448	199
957	4452	195
958	4456	190
959	4461	185
960	4466	181
961	4471	176
962	4475	171
963	4480	167
964	4484	162
965	4487	157
966	4491	153
967	4495	148
968	4498	143
969	4501	139
970	4504	134
971	4509	129
972	4513	125
973	4516	120
974	4520	115
975	4523	111
976	4527	106
977	4531	101
978	4535	97
979	4540	92
980	4546	88
981	4550	83
982	4554	78
983	4558	74
984	4562	69
985	4566	64
986	4569	60
987	4576	55
988	4580	50
989	4584	46
990	4589	41
991	4594	37
992	4599	32
993	4604	27
994	4609	23
995	4614	18
996	4618	13
997	4624	9
998	4628	4
999	4631	0
